Name,Price,Description
Wii Sports,82.74,Wii
Super Mario Bros.,40.24,NES
Mario Kart Wii,35.82,Wii
Wii Sports Resort,33,Wii
Pokemon Red/Pokemon Blue,31.37,GB
Tetris,30.26,GB
New Super Mario Bros.,30.01,DS
Wii Play,29.02,Wii
New Super Mario Bros. Wii,28.62,Wii
Duck Hunt,28.31,NES
Nintendogs,24.76,DS
Mario Kart DS,23.42,DS
Pokemon Gold/Pokemon Silver,23.1,GB
Wii Fit,22.72,Wii
Wii Fit Plus,22,Wii
Kinect Adventures!,21.82,X360
Grand Theft Auto V,21.4,PS3
Grand Theft Auto: San Andreas,20.81,PS2
Super Mario World,20.61,SNES
Brain Age: Train Your Brain in Minutes a Day,20.22,DS
Pokemon Diamond/Pokemon Pearl,18.36,DS
Super Mario Land,18.14,GB
Super Mario Bros. 3,17.28,NES
Grand Theft Auto V,16.38,X360
Grand Theft Auto: Vice City,16.15,PS2
Pokemon Ruby/Pokemon Sapphire,15.85,GBA
Pokemon Black/Pokemon White,15.32,DS
Brain Age 2: More Training in Minutes a Day,15.3,DS
Gran Turismo 3: A-Spec,14.98,PS2
Call of Duty: Modern Warfare 3,14.76,X360
Pok̩mon Yellow: Special Pikachu Edition,14.64,GB
Call of Duty: Black Ops,14.64,X360
Pokemon X/Pokemon Y,14.35,3DS
Call of Duty: Black Ops 3,14.24,PS4
Call of Duty: Black Ops II,14.03,PS3
Call of Duty: Black Ops II,13.73,X360
Call of Duty: Modern Warfare 2,13.51,X360
Call of Duty: Modern Warfare 3,13.46,PS3
Grand Theft Auto III,13.1,PS2
Super Smash Bros. Brawl,13.04,Wii
Call of Duty: Black Ops,12.73,PS3
Animal Crossing: Wild World,12.27,DS
Mario Kart 7,12.21,3DS
Halo 3,12.14,X360
Grand Theft Auto V,11.98,PS4
Pokemon HeartGold/Pokemon SoulSilver,11.9,DS
Super Mario 64,11.89,N64
Gran Turismo 4,11.66,PS2
Super Mario Galaxy,11.52,Wii
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.33,3DS
Super Mario Land 2: 6 Golden Coins,11.18,GB
Grand Theft Auto IV,11.02,X360
Gran Turismo,10.95,PS
Super Mario 3D Land,10.79,3DS
Gran Turismo 5,10.77,PS3
Call of Duty: Modern Warfare 2,10.69,PS3
Grand Theft Auto IV,10.57,PS3
Super Mario All-Stars,10.55,SNES
Pokemon FireRed/Pokemon LeafGreen,10.49,GBA
Super Mario 64,10.42,DS
Just Dance 3,10.26,Wii
Call of Duty: Ghosts,10.21,X360
Halo: Reach,9.88,X360
Mario Kart 64,9.87,N64
New Super Mario Bros. 2,9.82,3DS
Halo 4,9.76,X360
Final Fantasy VII,9.72,PS
Call of Duty: Ghosts,9.59,PS3
Just Dance 2,9.52,Wii
Gran Turismo 2,9.49,PS
Call of Duty 4: Modern Warfare,9.32,X360
Donkey Kong Country,9.3,SNES
Minecraft,9.2,X360
Animal Crossing: New Leaf,9.09,3DS
Mario Party DS,9.02,DS
The Elder Scrolls V: Skyrim,8.84,X360
Super Mario Kart,8.76,SNES
FIFA 16,8.49,PS4
Wii Party,8.49,Wii
Halo 2,8.49,XB
Mario Party 8,8.42,Wii
Pokemon Black 2/Pokemon White 2,8.33,DS
FIFA Soccer 13,8.24,PS3
The Sims 3,8.11,PC
GoldenEye 007,8.09,N64
Mario & Sonic at the Olympic Games,8.06,Wii
Final Fantasy X,8.05,PS2
Final Fantasy VIII,7.86,PS
Pok̩mon Platinum Version,7.84,DS
Pac-Man,7.81,2600
Grand Theft Auto: Liberty City Stories,7.72,PSP
Super Mario Galaxy 2,7.69,Wii
Star Wars Battlefront (2015),7.67,PS4
Call of Duty: Advanced Warfare,7.6,PS4
The Legend of Zelda: Ocarina of Time,7.6,N64
Crash Bandicoot 2: Cortex Strikes Back,7.58,PS
Super Mario Bros. 2,7.46,NES
Super Smash Bros. for Wii U and 3DS,7.45,3DS
Call of Duty: World at War,7.37,X360
Battlefield 3,7.34,X360
